jaar,stelsel,definitie,deflator,reeks,waarde
2007,werknemers,W1,cpi,index_populatie,106.301514994
2008,werknemers,W1,cpi,index_populatie,107.25376773
2009,werknemers,W1,cpi,index_populatie,106.852227713
2010,werknemers,W1,cpi,index_populatie,108.353612763
2011,werknemers,W1,cpi,index_populatie,109.001491142
2012,werknemers,W1,cpi,index_populatie,108.791180168
2013,werknemers,W1,cpi,index_populatie,108.430906289
2014,werknemers,W1,cpi,index_populatie,109.075389724
2015,werknemers,W1,cpi,index_populatie,109.828628457
2016,werknemers,W1,cpi,index_populatie,111.253480916
2017,werknemers,W1,cpi,index_populatie,112.913257698
2018,werknemers,W1,cpi,index_populatie,114.55096734
2019,werknemers,W1,cpi,index_populatie,116.098857279
2020,werknemers,W1,cpi,index_populatie,115.506907688
2021,werknemers,W1,cpi,index_populatie,117.625587347
2022,werknemers,W1,cpi,index_populatie,119.11102201
2023,werknemers,W1,cpi,index_populatie,116.858593234
2003,werknemers,W1,cpi,bijdragen_pc_reeel,15.6783344208
2004,werknemers,W1,cpi,bijdragen_pc_reeel,15.5288623473
2005,werknemers,W1,cpi,bijdragen_pc_reeel,15.4158541614
2006,werknemers,W1,cpi,bijdragen_pc_reeel,15.2862631202
2007,werknemers,W1,cpi,bijdragen_pc_reeel,15.4965343053
2008,werknemers,W1,cpi,bijdragen_pc_reeel,15.2428298588
2009,werknemers,W1,cpi,bijdragen_pc_reeel,15.6205369402
2010,werknemers,W1,cpi,bijdragen_pc_reeel,15.1967504652
2011,werknemers,W1,cpi,bijdragen_pc_reeel,15.2850357246
2012,werknemers,W1,cpi,bijdragen_pc_reeel,15.5674482599
2013,werknemers,W1,cpi,bijdragen_pc_reeel,15.779263498
2014,werknemers,W1,cpi,bijdragen_pc_reeel,16.1863004884
2015,werknemers,W1,cpi,bijdragen_pc_reeel,16.6131309472
2016,werknemers,W1,cpi,bijdragen_pc_reeel,16.0831417006
2017,werknemers,W1,cpi,bijdragen_pc_reeel,15.9578223396
2018,werknemers,W1,cpi,bijdragen_pc_reeel,15.7167126694
2019,werknemers,W1,cpi,bijdragen_pc_reeel,15.8348074743
2020,werknemers,W1,cpi,bijdragen_pc_reeel,15.5001080235
2021,werknemers,W1,cpi,bijdragen_pc_reeel,15.7221469597
2022,werknemers,W1,cpi,bijdragen_pc_reeel,15.4353598157
2023,werknemers,W1,cpi,bijdragen_pc_reeel,16.2399488063
2003,werknemers,W1,cpi,uitgaven_pc_reeel,22.0863659398
2004,werknemers,W1,cpi,uitgaven_pc_reeel,23.1926965384
2005,werknemers,W1,cpi,uitgaven_pc_reeel,23.2077788125
2006,werknemers,W1,cpi,uitgaven_pc_reeel,23.1064625707
2007,werknemers,W1,cpi,uitgaven_pc_reeel,23.2016888643
2008,werknemers,W1,cpi,uitgaven_pc_reeel,22.0254033128
2009,werknemers,W1,cpi,uitgaven_pc_reeel,23.8738524954
2010,werknemers,W1,cpi,uitgaven_pc_reeel,23.9960386764
2011,werknemers,W1,cpi,uitgaven_pc_reeel,24.2396654976
2012,werknemers,W1,cpi,uitgaven_pc_reeel,24.0959218238
2013,werknemers,W1,cpi,uitgaven_pc_reeel,24.856084926
2014,werknemers,W1,cpi,uitgaven_pc_reeel,25.8527250987
2015,werknemers,W1,cpi,uitgaven_pc_reeel,22.0431628404
2016,werknemers,W1,cpi,uitgaven_pc_reeel,22.0444978083
2017,werknemers,W1,cpi,uitgaven_pc_reeel,22.444963694
2018,werknemers,W1,cpi,uitgaven_pc_reeel,22.309904242
2019,werknemers,W1,cpi,uitgaven_pc_reeel,22.4378280778
2020,werknemers,W1,cpi,uitgaven_pc_reeel,24.7796511761
2021,werknemers,W1,cpi,uitgaven_pc_reeel,23.9172481849
2022,werknemers,W1,cpi,uitgaven_pc_reeel,22.7801502408
2023,werknemers,W1,cpi,uitgaven_pc_reeel,24.1152231064
2003,werknemers,W1,cpi,index_bijdragen_pc,100
2004,werknemers,W1,cpi,index_bijdragen_pc,99.0466329552
2005,werknemers,W1,cpi,index_bijdragen_pc,98.3258409192
2006,werknemers,W1,cpi,index_bijdragen_pc,97.499279642
2007,werknemers,W1,cpi,index_bijdragen_pc,98.8404373153
2008,werknemers,W1,cpi,index_bijdragen_pc,97.2222523748
2009,werknemers,W1,cpi,index_bijdragen_pc,99.6313544598
2010,werknemers,W1,cpi,index_bijdragen_pc,96.9283474719
2011,werknemers,W1,cpi,index_bijdragen_pc,97.4914510327
2012,werknemers,W1,cpi,index_bijdragen_pc,99.2927427241
2013,werknemers,W1,cpi,index_bijdragen_pc,100.64374872
2014,werknemers,W1,cpi,index_bijdragen_pc,103.239923667
2015,werknemers,W1,cpi,index_bijdragen_pc,105.96234588
2016,werknemers,W1,cpi,index_bijdragen_pc,102.581953344
2017,werknemers,W1,cpi,index_bijdragen_pc,101.782637819
2018,werknemers,W1,cpi,index_bijdragen_pc,100.24478524
2019,werknemers,W1,cpi,index_bijdragen_pc,100.998020895
2020,werknemers,W1,cpi,index_bijdragen_pc,98.8632313063
2021,werknemers,W1,cpi,index_bijdragen_pc,100.279446385
2022,werknemers,W1,cpi,index_bijdragen_pc,98.4502524402
2023,werknemers,W1,cpi,index_bijdragen_pc,103.582104899
2003,werknemers,W1,cpi,index_uitgaven_pc,100
2004,werknemers,W1,cpi,index_uitgaven_pc,105.009111058
2005,werknemers,W1,cpi,index_uitgaven_pc,105.07739877
2006,werknemers,W1,cpi,index_uitgaven_pc,104.618671237
2007,werknemers,W1,cpi,index_uitgaven_pc,105.049825433
2008,werknemers,W1,cpi,index_uitgaven_pc,99.7239807255
2009,werknemers,W1,cpi,index_uitgaven_pc,108.093167343
