type,positie,bruto_60pct,minimum,maximum,bruto,personenbelasting,netto,inhouding,inhouding_pct,bindend
ZV75,6000,4555.3499999999995,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,6250,4785.0599999999995,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,6500,5046.8459999999995,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,6750,5282.46,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,7000,5518.0680000000002,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,7500,6026.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,8000,6506.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,8500,7016.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,9000,7496.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,9500,8006.6639999999998,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,10000,8486.6640000000007,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,11000,9476.6640000000007,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,12000,10466.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,13000,11456.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,14000,12446.663999999999,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV75,15000,13436.664000000001,1773.3499999999999,3798.8759999999997,3798.8759999999997,1035.4601,2552.5819489999999,210.83395100000007,5.5499034714478732,maximum
ZV50,1550,450.25500000000005,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,1800,523.31999999999994,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,2000,599.30759999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,2250,698.67600000000004,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,2500,798.0444,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,2750,926.59439999999984,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,3000,1047.2483999999999,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,3250,1177.5527999999999,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,3500,1307.8511999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,3750,1433.3304000000001,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,4000,1568.4599999999998,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,4250,1713.24,1773.3499999999999,3798.8759999999997,1773.3499999999999,90.487082139999998,1682.862893,2.485999993950827e-05,1.4018665203997108e-06,minimum
ZV50,4500,1858.02,1773.3499999999999,3798.8759999999997,1858.02,131.3450302,1726.6749890000001,-1.9200000224373071e-05,-1.0333581029468505e-06,-
