variant,groep,pos,w
C,zs_alleen,6250,569.15902124018112
C,zs_alleen,7000,337.91929905788538
C,zs_alleen,7500,529.11837978657945
C,zs_koppel,1550,113628.8002704337
C,zs_koppel,1800,4596.6201956749628
C,zs_koppel,2000,10816.62870828405
C,zs_koppel,2250,11814.974892643409
C,zs_koppel,2500,7488.5617131624513
C,zs_koppel,2750,10465.861966255799
C,zs_koppel,3000,9247.2078544218912
C,zs_koppel,3250,7270.3353752783132
C,zs_koppel,3500,6484.4393842882982
C,zs_koppel,3750,6473.9082696954774
C,zs_koppel,4000,2813.2519734999601
C,zs_koppel,4250,1542.1437830017931
C,zs_koppel,4500,11627.506661075609
C,zs_koppel,4750,4450.3722965033849
C,zs_koppel,5000,1405.459315365624
C,zs_koppel,5250,1621.6618982189971
C,zs_koppel,5500,1743.595453041587
C,zs_koppel,5750,878.80223915356532
C,zs_koppel,6250,2545.0212997853482
C,zs_koppel,7000,244.21245210943081
C,zs_koppel,7500,2575.3726747976052
C,zs_koppel,8500,1123.7577846014501
C,zs_koppel,13000,560.13996000300972
C,zs_koppel,14000,1967.116237559206
C,zs_koppel,15000,1040.6411608413059
C,zs_koppel2,1550,41241.118595521082
C,zs_koppel2,1800,1296.880297035229
C,zs_koppel2,2000,9929.5922852737203
C,zs_koppel2,2250,8283.4042571875725
C,zs_koppel2,2500,2956.4685987963958
C,zs_koppel2,2750,5534.1345610390863
C,zs_koppel2,3000,4385.8866352589221
C,zs_koppel2,3250,4772.7712853689154
C,zs_koppel2,3500,4747.0009511911303
C,zs_koppel2,4000,2280.6438747182319
C,zs_koppel2,4250,1017.784717317248
C,zs_koppel2,4500,7544.909360367642
C,zs_koppel2,4750,1773.1449661166689
C,zs_koppel2,5000,643.60023603071841
C,zs_koppel2,5750,150.70340651880801
C,zs_koppel2,6250,2545.0212997853482
C,zs_koppel2,7500,470.72570584952058
C,zs_koppel2,13000,560.13996000300972
C,zs_koppel2,15000,1040.6411608413059
C,zs_typ,1550,140657.31737999091
C,zs_typ,1800,11141.32324811195
C,zs_typ,2000,14594.67403193584
C,zs_typ,2250,17681.03804119812
C,zs_typ,2500,9693.7658888448314
